Province_State,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020
AC,2741,3025,3263,3780,4068,4404,4676,5138,5478,5706,5930,6071,6165,6300,6508,6840,7094,7324,7776,3804,3898,4173
AL,4186,4654,5022,5329,5898,6345,6704,7212,7670,8212,8799,9845,10376,11077,11901,12566,13380,14236,15105,5460,6263,6296
AP,4407,5037,5498,5929,6190,6416,6794,7436,7954,8262,9098,9380,9662,10274,10860,11297,12067,12504,12773,6868,6942,7617
AM,22143,23747,25369,27058,28109,28501,30097,31617,34182,36898,38513,39326,39703,41093,42209,44290,45467,46553,47019,7954,9333,7900
BA,10835,11565,12158,12587,13439,13727,14071,14539,15393,16308,16988,17725,18197,20694,21689,22673,25600,26550,27371,15399,16060,17482
CE,28660,29252,32322,32814,33271,33692,34418,34604,35088,35536,43550,45479,47316,49652,52451,55982,57705,59610,60289,15124,15416,16385
DF,5084,5458,5858,6156,6534,6816,7086,7628,8158,8568,9312,9610,10339,11079,11829,12727,14006,15642,16409,7449,8072,8774
ES,7751,8515,9123,9501,9561,9900,10402,10973,11665,12343,12854,13086,13455,14487,15423,16157,17329,18144,18787,8596,9168,9683
GO,1900,2029,2211,2282,2348,2416,2567,2735,2975,3200,3463,3578,3779,4226,4415,4780,5206,5497,5640,5951,6341,6971
MA,14480,15395,16519,18045,20437,22002,23461,25292,27092,29571,31688,33684,34321,35628,37146,39567,42218,44338,46423,24852,25664,25391
MT,1022,1138,1183,1315,1422,1459,1585,1793,1900,2047,2304,2368,2475,2639,2772,3112,3393,3566,3769,2530,2607,2759
MS,676,729,788,841,907,1006,1083,1168,1244,1338,1399,1469,1548,1626,1782,1905,1976,2111,2232,1112,1206,1213
MG,5109,5405,5794,6121,6442,6732,7282,7771,8431,8975,9367,10193,10392,10650,11704,12711,13651,14571,15327,8646,8340,9276
PA,16502,17904,19532,20696,21977,23705,26131,28488,30995,33659,34396,35038,35121,38167,41581,44633,47422,49564,50593,8016,8601,8517
PB,5608,5993,6634,7250,7551,7737,8633,9911,10814,11684,12515,12802,13325,14480,15604,17141,18128,19320,19826,16104,17247,18802
PR,2479,2669,2793,2949,3059,3175,3353,3550,3815,4063,4292,4505,4645,4964,5289,5605,6121,6373,6660,4230,4317,4669
PE,20726,21986,23703,24642,25559,26118,26526,27451,28147,29586,30687,31643,32025,32575,33451,34373,35306,36091,36937,13938,13834,12835
PI,2550,2761,2981,3159,3283,3440,3601,3832,4105,4357,4588,4770,4951,5326,5636,5862,6500,6881,7239,6768,7040,7435
RN,3626,3882,4070,4415,4497,4550,5252,5388,5376,6195,7097,7746,7641,7892,8782,8904,9053,9039,9028,8633,8744,9985
RS,4812,5307,5746,6160,6290,6362,6582,6839,8021,8021,9024,9108,9100,9674,10140,10745,11307,11754,11849,3372,2091,2397
RJ,27135,28677,29932,30628,33919,35193,35663,37793,40030,42874,47143,48044,49068,51046,53230,54605,56593,57894,61049,9273,9499,9302
RO,2409,2558,2668,2994,3080,3147,3360,3725,4110,4357,4592,4786,5013,5305,5533,6265,6649,7472,7875,5250,5601,6079
RR,2003,2074,2223,2293,2355,2428,2481,2580,2857,2990,3189,3358,3576,3730,4019,4356,4692,5099,5387,4086,4319,4586
SC,5405,5512,6358,6504,6591,6766,6895,7246,7869,8396,8642,8894,9352,9512,9882,10376,10687,11119,11394,4463,4185,4207
SP,64496,68181,71098,74513,75998,77405,79594,82771,88885,94281,99610,102083,103629,110301,115207,120640,125723,131491,133928,86110,91321,97159
SE,4208,4658,4840,5045,5221,5345,5619,5785,6021,6320,6656,6841,7067,7383,7809,8014,8379,8764,9073,4968,5299,5776
TO,1767,1929,2156,2379,2539,2638,2794,2958,3209,3541,3910,4103,4269,4404,4616,4794,5093,5409,5545,3065,2952,3151
